parameter,value,accuracy,critical_weight,num_neurons,num_output_neurons,leak_coefficient,refractory_period,membrane_threshold,small_world_p,small_world_k
num_neurons,1000.0,0.675,0.024302116,1000,400,0,4,2.0,0.2,100
num_neurons,1100.0,0.6775,0.024302116,1100,400,0,4,2.0,0.2,100
num_neurons,1200.0,0.6975,0.024302116,1200,400,0,4,2.0,0.2,100
num_neurons,1300.0,0.7075,0.024302116,1300,400,0,4,2.0,0.2,100
num_neurons,1400.0,0.695,0.024302116,1400,400,0,4,2.0,0.2,100
num_neurons,1500.0,0.7175,0.024302116,1500,400,0,4,2.0,0.2,100
num_neurons,1600.0,0.695,0.024302116,1600,400,0,4,2.0,0.2,100
num_neurons,1700.0,0.7025,0.024302116,1700,400,0,4,2.0,0.2,100
num_neurons,1800.0,0.68,0.024302116,1800,400,0,4,2.0,0.2,100
num_neurons,1900.0,0.6725,0.024302116,1900,400,0,4,2.0,0.2,100
num_neurons,2000.0,0.695,0.024302116,2000,400,0,4,2.0,0.2,100
num_neurons,2100.0,0.6725,0.024302116,2100,400,0,4,2.0,0.2,100
num_neurons,2200.0,0.68,0.024302116,2200,400,0,4,2.0,0.2,100
num_neurons,2300.0,0.7175,0.024302116,2300,400,0,4,2.0,0.2,100
num_neurons,2400.0,0.695,0.024302116,2400,400,0,4,2.0,0.2,100
num_neurons,2500.0,0.67,0.024302116,2500,400,0,4,2.0,0.2,100
num_neurons,2600.0,0.6875,0.024302116,2600,400,0,4,2.0,0.2,100
num_neurons,2700.0,0.675,0.024302116,2700,400,0,4,2.0,0.2,100
num_neurons,2800.0,0.64,0.024302116,2800,400,0,4,2.0,0.2,100
num_neurons,2900.0,0.705,0.024302116,2900,400,0,4,2.0,0.2,100
num_neurons,3000.0,0.6975,0.024302116,3000,400,0,4,2.0,0.2,100
num_neurons,3100.0,0.6425,0.024302116,3100,400,0,4,2.0,0.2,100
num_neurons,3200.0,0.665,0.024302116,3200,400,0,4,2.0,0.2,100
num_neurons,3300.0,0.6675,0.024302116,3300,400,0,4,2.0,0.2,100
num_neurons,3400.0,0.6975,0.024302116,3400,400,0,4,2.0,0.2,100
num_neurons,3500.0,0.69,0.024302116,3500,400,0,4,2.0,0.2,100
num_neurons,3600.0,0.69,0.024302116,3600,400,0,4,2.0,0.2,100
num_neurons,3700.0,0.6975,0.024302116,3700,400,0,4,2.0,0.2,100
num_neurons,3800.0,0.64,0.024302116,3800,400,0,4,2.0,0.2,100
num_neurons,3900.0,0.6925,0.024302116,3900,400,0,4,2.0,0.2,100
num_neurons,4000.0,0.645,0.024302116,4000,400,0,4,2.0,0.2,100
num_output_neurons,200.0,0.675,0.024302116,1000,200,0,4,2.0,0.2,100
num_output_neurons,300.0,0.6625,0.024302116,1000,300,0,4,2.0,0.2,100
num_output_neurons,400.0,0.67,0.024302116,1000,400,0,4,2.0,0.2,100
num_output_neurons,500.0,0.705,0.024302116,1000,500,0,4,2.0,0.2,100
num_output_neurons,600.0,0.6725,0.024302116,1000,600,0,4,2.0,0.2,100
num_output_neurons,700.0,0.685,0.024302116,1000,700,0,4,2.0,0.2,100
num_output_neurons,800.0,0.71,0.024302116,1000,800,0,4,2.0,0.2,100
refractory_period,1.0,0.6675,0.036075529,1000,400,0,1,2.0,0.2,100
refractory_period,2.0,0.7025,0.032151057999999996,1000,400,0,2,2.0,0.2,100
refractory_period,3.0,0.6975,0.028226586999999997,1000,400,0,3,2.0,0.2,100
refractory_period,4.0,0.695,0.024302116,1000,400,0,4,2.0,0.2,100
refractory_period,5.0,0.6925,0.020377644999999996,1000,400,0,5,2.0,0.2,100
refractory_period,6.0,0.695,0.016453174,1000,400,0,6,2.0,0.2,100
refractory_period,7.0,0.6675,0.012528703,1000,400,0,7,2.0,0.2,100
